root_symbol,root_symbol,exchange,name_x,name_y,multiplier,tick_size
R7,R7,NYMEX,PJM AEP Dayton Hub Day-Ahead Off-Peak Calendar-Month 5 MW Futures,PJM AEP Dayton Hub Off-Peak Calendar-Month Day-Ahead LMP Swap,5,0.05
RA,RA,CME,South African Rand Futures,,,
RB,RB,NYMEX,RBOB Gasoline Physical Futures,Gasoline-Reformulated Blendstock,42000,0.01
RBB,RBB,NYMEX,RBOB Gasoline Brent Crack Spread Futures,RBOB Gasoline Brent Crack Spread,1000,0.01
RF,RF,CME,Euro/Swiss Franc Futures,Euro/Swiss Franc,125000,0.01
RK,RK,NYMEX,Singapore Jet Kerosene (Platts) vs. Gasoil (Platts) Futures,,,
RL,RL,NYMEX,RBOB Gasoline Financial Futures,,,
RM,RM,NYMEX,RBOB Gasoline Crack Spread Futures,RBOB Crack Spread Swap,1000,0.01
RP,RP,CME,Euro/British Pound Futures,Euro/British Pound,125000,0.05
RR,RR,CBT,Rough Rice Futures,,,
RU,RU,CME,Russian Ruble Futures,,,
RV,RV,NYMEX,Gulf Coast Unl 87 Gasoline M1 (Platts) vs. RBOB Gasoline Futures,,,
RY,RY,CME,Euro/Japanese Yen Futures,Euro/Japanese Yen,125000,0.01
S,S,CBT,Soybean Futures,Soybeans,50,0.02
S4,S4,NYMEX,PJM APS Zone Peak Calendar-Month Day-Ahead LMP Futures,,,
SA,SA,CBT,5 Year USD Deliverable Interest Rate Swap Futures,,,
SD,SD,NYMEX,Singapore Fuel Oil 180 cst (Platts) vs. 380 cst (Platts) Futures,Singapore Fuel Oil Spread Swap,1000,0.01
SE,SE,NYMEX,Singapore Fuel Oil 380 cst (Platts) Futures,,,
SF,SF,CME,Swiss Franc Futures,,,
SG,SG,NYMEX,Singapore Gasoil (Platts) Futures,,,
SI,SI,CEC,Silver Futures,,,
SM,SM,CBT,Soybean Meal Futures,Soybean Meal,100,0.01
SP,SP,CME,S&P 500 Futures,S&P 500 Index (Divided by 10),250,0.05
SSI,SSI,NYMEX,Coal (API 8) cfr South China (Argus/McCloskey) Futures,,,
SZ,SZ,NYMEX,Southern Natural Louisiana Natural Gas (Platts IFERC) Basis Futures,SONAT Natural Gas Basis,2500,0.01
T3,T3,NYMEX,NYISO Zone G Day-Ahead Peak Calendar-Month 5 MW Futures,,,
TC,TC,NYMEX,Columbia Gas TCO (Platts IFERC) Basis Futures,TCO Natural Gas Basis,2500,0.01
TIO,TIO,NYMEX,Iron Ore 62% Fe CFR China (TSI) Futures,Iron Ore 62% Fe CFR China (TSI),500,0.01
TR,TR,NYMEX,Transco Zone 4 Natural Gas (Platts IFERC) Basis Futures,,,
TRY,TRY,CME,Turkish Lira Futures,Turkish Lira,200000,0.01
TU,TU,CBT,2 Yr Note Futures,2-Year U.S. T-Note,2000,0.025
TY,TY,CBT,10 Yr Note Futures,10-Year U.S. T-Note,1000,0.01
TZ6,TZ6,NYMEX,Transco Zone 6 Non-N.Y. Natural Gas (Platts IFERC) Basis Futures,,,
U3,U3,NYMEX,ISO New England New Hampshire Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,,,
U4,U4,NYMEX,ISO New England Rhode Island Zone 5 MW Peak Calendar-Month Day-Ahead LMP Futures,,,
U5,U5,NYMEX,ISO New England Rhode Island Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,ISO New England Rhode Island Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP,5,0.05
