,amount,commission,dt,order_id,price,sid,symbol,txn_dollars
2009-06-02 20:00:00+00:00,1023,,2009-06-02 20:00:00+00:00,4668351d61414e1aae904d5a07f6d32c,61.65,Future(8064 [LNM09]),Future(8064 [LNM09]),-25227180.0
2009-06-02 20:00:00+00:00,-438,,2009-06-02 20:00:00+00:00,3312c8e9033442d596c565a6edc6c965,115.031,Future(8198 [USU09]),Future(8198 [USU09]),50383578.0
2009-06-02 20:00:00+00:00,-546,,2009-06-02 20:00:00+00:00,8d9b684e511744e18b9a274f432f3df9,75230.0,Future(8072 [MPM09]),Future(8072 [MPM09]),20537790.0
2009-06-02 20:00:00+00:00,191,,2009-06-02 20:00:00+00:00,aadb42c80c1c4be792df8ea07f4887dd,241.0,Future(8203 [PAU09]),Future(8203 [PAU09]),-4603100.0
2009-06-02 20:00:00+00:00,250,,2009-06-02 20:00:00+00:00,28010f69d3cb4e01b6a52da7debfb2a9,0.925,Future(8078 [CDM09]),Future(8078 [CDM09]),-23125000.0
2009-06-02 20:00:00+00:00,1224,,2009-06-02 20:00:00+00:00,01e1cd5091204f9d9b94629c89ab8262,108.343,Future(8206 [TUU09]),Future(8206 [TUU09]),-265223664.0
2009-06-02 20:00:00+00:00,-729,,2009-06-02 20:00:00+00:00,d1bf8e42121f46e49536cdf43b051804,108.937,Future(8100 [TUM09]),Future(8100 [TUM09]),158830146.0
2009-06-02 20:00:00+00:00,-946,,2009-06-02 20:00:00+00:00,7ea9b010769349bfa8a8938c24be89db,63.8,Future(8113 [LNN09]),Future(8113 [LNN09]),24141920.0
2009-06-03 20:00:00+00:00,-398,,2009-06-03 20:00:00+00:00,9bba78593eb748b2ae810f87a3443ac9,80.5,Future(8141 [LCQ09]),Future(8141 [LCQ09]),12815600.0
2009-06-03 20:00:00+00:00,412,,2009-06-03 20:00:00+00:00,0b3147b0e3344d4591523c90b66dfc75,1479.0,Future(8086 [NQM09]),Future(8086 [NQM09]),-12186960.0
